,Title,Year,Rated,Runtime,Country,Genre,Plot,Metascore,IMDBRating
0,Avengers: Endgame,2019,PG-13,181,USA,"Action, Adventure, Sci-Fi","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78.0,8.6
1,Toy Story 4,2019,G,100,USA,"Animation, Adventure, Comedy, Family, Fantasy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",84.0,8.2
2,Captain Marvel,2019,PG-13,123,USA,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,64.0,7.0
3,Spider-Man: Far from Home,2019,PG-13,129,USA,"Action, Adventure, Sci-Fi","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",69.0,7.9
4,Us,2019,R,116,"USA, Japan, China","Horror, Mystery, Thriller",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,81.0,7.0
5,John Wick: Chapter 3 - Parabellum,2019,R,131,USA,"Action, Crime, Thriller","Super-assassin John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head - he is the target of hit men and women everywhere.",73.0,7.8
6,Fast & Furious Presents: Hobbs & Shaw,2019,PG-13,137,USA,"Action, Adventure",Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,60.0,6.8
7,It Chapter Two,2019,R,169,"Canada, USA",Horror,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",-1.0,-1.0
8,How to Train Your Dragon: The Hidden World,2019,PG,104,"USA, Japan","Animation, Action, Adventure, Family, Fantasy","When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",71.0,7.5
9,The Secret Life of Pets 2,2019,PG,86,"France, Japan, USA","Animation, Adventure, Comedy, Family","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",55.0,6.5
